authorid,author_name,resource_title,resource_month,resource_day,resource_year,resource_language,resource_url,resource_source_url,resource_type,resource_source,comments
eclarke,Edith Clarke,My mother who fathered me : a study of the family in three selected communities in Jamaica,,,1957,,https://ufdcimages.uflib.ufl.edu/AA/00/03/02/83/00001/HQ584-C6_dj.jpg,https://www.dloc.com/AA00030283/00001/images,image,dloc,
eclarke,Edith Clarke,Caribbean Quarterly,September,,1998,,https://www.dloc.com/UF00099208/00063/images,https://www.dloc.com/UF00099208/00063/images,image,dloc,"Access to this item is restricted to UF students, faculty, and staff"
esaintamand,Edris Saint-Amand,Nouvelliste,April,6,1979,,https://ufdcimages.uflib.ufl.edu/UF/00/00/00/81/10360/00001.jpg,https://www.dloc.com/UF00000081/10360/images,image,dloc,
esaintamand,Edris Saint-Amand,Étincelles,,,1945,,https://ufdcimages.uflib.ufl.edu/UF/00/08/13/70/00001/00001.jpg,https://www.dloc.com/UF00081370/00001/images,image,dloc,
ebaugh,Edward Baugh,"Interview with Edward Baugh, 30 January 2018, by Leah Rosenberg",January,30,2018,,https://www.dloc.com/AA00067926/00001/pdf,https://www.dloc.com/AA00067926/00001/pdf,pdf,dloc,
ebaugh,Edward Baugh,Is Caribbean culture at the crossroads or is it a crossroad culture?,,,2008,,https://www.dloc.com/CA00100664/00001/images,https://www.dloc.com/CA00100664/00001/images,image,dloc,
ebaugh,Edward Baugh,Seven Jamaican poets : an anthology of recent poetry,,,1971,,https://ufdcimages.uflib.ufl.edu/AA/00/03/05/29/00001/PR9265-6-S4_dj.jpg,https://www.dloc.com/AA00030529/00001/images,image,dloc,
ebaugh,Edward Baugh,Critics on Caribbean literature : readings in literary criticism,,,1978,,https://ufdcimages.uflib.ufl.edu/AA/00/03/04/65/00001/PR9210-C71978_dj.jpg,https://www.dloc.com/AA00030465/00001/images,image,dloc,
ebaugh,Edward Baugh,"West Indian poetry, 1900-1970 : a study in cultural decolonisation",,,1971,,https://ufdcimages.uflib.ufl.edu/AA/00/03/04/69/00001/PR9212-B3_dj.jpg,https://www.dloc.com/AA00030469/00001/images,image,dloc,
ebaugh,Edward Baugh,A tale from the rainforest,,,1988,,https://ufdcimages.uflib.ufl.edu/AA/00/03/05/34/00001/PR9265-9-B391T351988_dj.jpg,https://www.dloc.com/AA00030534/00001/images,image,dloc,
ebaugh,Edward Baugh,Literary icons cite necessity of arts revival in the C/bean,August,26,2008,,https://ufdcimages.uflib.ufl.edu/CA/00/10/07/87/00001/0001.jpg,https://www.dloc.com/CA00100787/00001/images,image,dloc,
ekbrathwaite,Edward Kamau Brathwaite,CARIFESTA '72,July,23,1976,,https://ufdcimages.uflib.ufl.edu/CA/00/10/00/55/00001/00001.jpg,https://www.dloc.com/CA00100055/00001/images,image,dloc,
ekbrathwaite,Edward Kamau Brathwaite,Odale's choice written by Kamau Brathwaite,,,2008,,https://ufdcimages.uflib.ufl.edu/CA/00/10/08/10/00001/0001.jpg,https://www.dloc.com/CA00100810/00001/images,image,dloc,
ekbrathwaite,Edward Kamau Brathwaite,CARIFESTA '72 : Caribbean cultural revolution,October,22,1972,,https://ufdcimages.uflib.ufl.edu/CA/00/19/98/75/00001/00306.jpg,https://www.dloc.com/CA00199875/00001/images,image,dloc,
ekbrathwaite,Edward Kamau Brathwaite,CARIFESTA '72 : music and dance,November,19,1972,,https://ufdcimages.uflib.ufl.edu/CA/00/19/98/79/00001/00311.jpg,https://www.dloc.com/CA00199879/00001/images,image,dloc,
ekbrathwaite,Edward Kamau Brathwaite,Poster for CLTR3100 Theorizing Caribbean Culture: Kamau at 90,,,2020,,https://ufdcimages.uflib.ufl.edu/AA/00/09/15/39/00001/Kamugisha_NEHInstitute_001.jpg,https://www.dloc.com/AA00091539/00001/images,image,dloc,
ekbrathwaite,Edward Kamau Brathwaite,Festival of Creative Arts of the Caribbean : CARIFESTA '72,October,16,1972,,https://ufdcimages.uflib.ufl.edu/CA/00/19/98/74/00001/00305.jpg,https://www.dloc.com/CA00199874/00001/images,image,dloc,
ekbrathwaite,Edward Kamau Brathwaite,CARIFESTA '72 : The Presence of Africa in the Caribbean,November,12,1972,,https://ufdcimages.uflib.ufl.edu/CA/00/19/98/78/00001/00310.jpg,https://www.dloc.com/CA00199878/00001/images,image,dloc,
ekbrathwaite,Edward Kamau Brathwaite,CARIFESTA : from what we were,June,,1999,,https://ufdcimages.uflib.ufl.edu/CA/00/10/02/18/00001/00001.jpg,https://www.dloc.com/CA00100218/00001/images,image,dloc,
ekbrathwaite,Edward Kamau Brathwaite,"Ancestors : a reinvention of Mother poem, Sun poem, and X/ self",,,2001,,https://ufdcimages.uflib.ufl.edu/AA/00/03/04/99/00001/PR9230-9-B68A572001_dj.jpg,https://www.dloc.com/AA00030499/00001/images,image,dloc,
ekbrathwaite,Edward Kamau Brathwaite,The arrivants : a new world trilogy,,,1973,,https://ufdcimages.uflib.ufl.edu/AA/00/03/05/00/00001/PR9230-9-B68A61973_dj.jpg,https://www.dloc.com/AA00030500/00001/images,image,dloc,
ekbrathwaite,Edward Kamau Brathwaite,Islands,,,1969,,https://ufdcimages.uflib.ufl.edu/AA/00/03/05/03/00001/PR9230-9-B68I81969_dj.jpg,https://www.dloc.com/AA00030503/00001/images,image,dloc,
ekbrathwaite,Edward Kamau Brathwaite,Mother poem,,,1977,,https://ufdcimages.uflib.ufl.edu/AA/00/03/05/04/00001/PR9230-9-B68M6_dj.jpg,https://www.dloc.com/AA00030504/00001/images,image,dloc,
ekbrathwaite,Edward Kamau Brathwaite,Days & nights,,,1975,,https://ufdcimages.uflib.ufl.edu/AA/00/03/05/02/00001/PR9230-9-B68D391975_dj.jpg,https://www.dloc.com/AA00030502/00001/images,image,dloc,
ekbrathwaite,Edward Kamau Brathwaite,Masks,,,1968,,https://ufdcimages.uflib.ufl.edu/AA/00/03/04/22/00001/PR6052-R29M3_dj.jpg,https://www.dloc.com/AA00030422/00001/images,image,dloc,
ekbrathwaite,Edward Kamau Brathwaite,Rights of passage,,,1967,,https://ufdcimages.uflib.ufl.edu/AA/00/03/04/23/00001/PR6052-R29R5_dj.jpg,https://www.dloc.com/AA00030423/00001/images,image,dloc,
ekbrathwaite,Edward Kamau Brathwaite,New poets from Jamaica : an anthology,,,1979,,https://ufdcimages.uflib.ufl.edu/AA/00/03/05/28/00001/PR9265-6-N491979_dj.jpg,https://www.dloc.com/AA00030528/00001/images,image,dloc,
ekbrathwaite,Edward Kamau Brathwaite,Other exiles,,,1975,,https://ufdcimages.uflib.ufl.edu/AA/00/03/05/05/00001/PR9230-9-B68O8_dj.jpg,https://www.dloc.com/AA00030505/00001/images,image,dloc,
ekbrathwaite,Edward Kamau Brathwaite,Caribbean Quarterly,March,,1988,,https://www.dloc.com/UF00099208/00062/images,https://www.dloc.com/UF00099208/00062/images,image,dloc,"Access to this item is restricted to UF students, faculty, and staff"
ekbrathwaite,Edward Kamau Brathwaite,Black + blues,,,1976,,https://ufdcimages.uflib.ufl.edu/AA/00/03/05/01/00001/PR9230-9-B68B5_dj.jpg,https://www.dloc.com/AA00030501/00001/images,image,dloc,
ekbrathwaite,Edward Kamau Brathwaite,,,,,,,,,dloc,only information is the author's name
edanticat,Edwidge Danticat,Re-Envisioning History,,,2009,,https://ufdcimages.uflib.ufl.edu/UF/E0/02/13/90/00001/stokes_c_Page_047.jpg,https://www.dloc.com/UFE0021390/00001/images,image,dloc,
edanticat,Edwidge Danticat,"Sargasso, A Journal of Caribbean Literature, Language, and Culture",,,1984,,https://ufdcimages.uflib.ufl.edu/UF/00/09/60/05/00015/00001.jpg,https://www.dloc.com/UF00096005/00015/images,image,dloc,
edanticat,Edwidge Danticat,"Scarred Bodies, Scarred Writing: The Trauma of Dictatorship and Diaspora in The Dew Breaker  and The Brief Wondorus Life of Oscar Wao",,,2012,,https://www.dloc.com/UFE0044706/00001/pdf,https://www.dloc.com/UFE0044706/00001/pdf,pdf,dloc,
edanticat,Edwidge Danticat,MaComère,,,2002,,https://ufdcimages.uflib.ufl.edu/AA/00/00/00/79/00006/00006_00000.jpg,https://www.dloc.com/AA00000079/00006/images,image,dloc,
edanticat,Edwidge Danticat,MaComère,,,2001,,https://ufdcimages.uflib.ufl.edu/AA/00/00/00/79/00005/00005_00000.jpg,https://www.dloc.com/AA00000079/00005/images,image,dloc,
edanticat,Edwidge Danticat,Edwidge Danticat Lecture Tell Our Stories,July,10,2013,,https://ufdcimages.uflib.ufl.edu/AA/00/02/02/00/00001/AA00020200.mp4,https://www.dloc.com/AA00020200/00001/videos,video,dloc,
edanticat,Edwidge Danticat,"Limbo, Literature and All That Jazz: Caribbean Literature",,,2010,,https://www.dloc.com/AA00017809/00001/pdf,https://www.dloc.com/AA00017809/00001/pdf,pdf,dloc,
edanticat,Edwidge Danticat,FIU's Haiti Initiative: Doing Our Part,,,,,https://www.dloc.com/AA00008924/00002/pdf,https://www.dloc.com/AA00008924/00002/pdf,pdf,dloc,
edanticat,Edwidge Danticat,Rosie Gordon-Wallace,March,12,2018,,https://www.dloc.com/AA00078569/00001/pdf,https://www.dloc.com/AA00078569/00001/pdf,pdf,dloc,
edanticat,Edwidge Danticat,Caribbean beat,March,,2020,,https://www.dloc.com/AA00090268/00052/pdf,https://www.dloc.com/AA00090268/00052/pdf,pdf,dloc,
edanticat,Edwidge Danticat,Caribbean beat,March,,2019,,https://www.dloc.com/AA00090268/00046/pdf,https://www.dloc.com/AA00090268/00046/pdf,pdf,dloc,
edanticat,Edwidge Danticat,"Paul Laraque, Tontongi, Edwidge Danticat with Liberation",,,,,https://www.dloc.com/AA00079005/00004/images,https://www.dloc.com/AA00079005/00004/images,image,dloc,
edanticat,Edwidge Danticat,Female Leadership in the 20th and 21st Century Caribbean,,,2019,,https://www.dloc.com/AA00019226/00011/pdf,https://www.dloc.com/AA00019226/00011/pdf,pdf,dloc,
epspringer,Eintou Pearl Springer,Symposia the intellectual heart of CARIFESTA,September,7,2006,,https://www.dloc.com/CA00100270/00001/images,https://www.dloc.com/CA00100270/00001/images,image,dloc,
epspringer,Eintou Pearl Springer,CARIFESTA VII 2000 photograph album,,,2000,,https://www.dloc.com/CA00100633/00001/images,https://www.dloc.com/CA00100633/00001/images,image,dloc,
ewalcotthackshaw,Elizabeth Walcott-Hackshaw,UWI today,January,22,2017,,https://www.dloc.com/UF00094180/00089/pdf,https://www.dloc.com/UF00094180/00089/pdf,pdf,dloc,
ewalcotthackshaw,Elizabeth Walcott-Hackshaw,Listing of Caribbean Titles 2008,,,2010,,https://www.dloc.com/AA00013496/00001/images,https://www.dloc.com/AA00013496/00001/images,image,dloc,
ewalcotthackshaw,Elizabeth Walcott-Hackshaw,"Narrating Crisis: Rwanda, Haiti , and the poltics of commemoration ",,,2011,,https://www.dloc.com/UFE0042730/00001/pdf,https://www.dloc.com/UFE0042730/00001/pdf,pdf,dloc,
ewalcotthackshaw,Elizabeth Walcott-Hackshaw,Revolutionary Memories: Celebrating and Commemorating the Haitian Revolution,,,2015,,https://www.dloc.com/UFE0049019/00001/pdf,https://www.dloc.com/UFE0049019/00001/pdf,pdf,dloc,
ebobadilla,Emilio Bobadilla,Diccionario cubano de seudónimos,,,1922,,http://dloc.com/AA00059339/00001/images,http://dloc.com/AA00059339/00001/images,image,dloc,
ebobadilla,Emilio Bobadilla,Colección posthuma publicada por la Academia nacional de artes y letras,,,1914,,https://www.dloc.com/AA00059323/00001/images,https://www.dloc.com/AA00059323/00001/images,image,dloc,
ewilliams,Eric Williams,Inward hunger : the education of a prime minister,,,1969,,https://www.dloc.com/AA00030208/00001/images,https://www.dloc.com/AA00030208/00001/images,image,dloc,
ewilliams,Eric Williams,"Eric Eustace Williams, Archived Web Page",,,2021,,https://www.dloc.com/AA00083169/00001/pdf,https://www.dloc.com/AA00083169/00001/pdf,pdf,dloc,
ewilliams,Eric Williams,Capitalism & slavery,,,1944,,https://www.dloc.com/AA00030250/00001/images,https://www.dloc.com/AA00030250/00001/images,image,dloc,
ewilliams,Eric Williams,"From Columbus to Castro : the history of the Caribbean, 1492-1969",,,1970,,https://www.dloc.com/AA00030185/00001/images,https://www.dloc.com/AA00030185/00001/images,image,dloc,
ewilliams,Eric Williams,"The British West Indies at Westminster, 1789-1823 : extracts from the debates in Parliament",,,1970,,https://www.dloc.com/AA00030288/00001/images,https://www.dloc.com/AA00030288/00001/images,image,dloc,
ewilliams,Eric Williams,History of the people of Trinidad and Tobago,August,31,1962,,https://www.dloc.com/AA00030206/00001/images,https://www.dloc.com/AA00030206/00001/images,image,dloc,
ewilliams,Eric Williams,Education in the British West Indies,,,1968,,https://www.dloc.com/AA00030326/00001/images,https://www.dloc.com/AA00030326/00001/images,image,dloc,
ebrodber,Erna Brodber,Consuming Identities,,,2008,,https://www.dloc.com/UFE0022501/00001/pdf,https://www.dloc.com/UFE0022501/00001/pdf,pdf,dloc,
ebrodber,Erna Brodber,(Re)Producing Cultural Idenitity in the Space of Death,,,2010,,https://www.dloc.com/UFE0041826/00001/images,https://www.dloc.com/UFE0041826/00001/images,image,dloc,
ebrodber,Erna Brodber,MaComère,,,2009,,https://www.dloc.com/AA00000079/00011/images,https://www.dloc.com/AA00000079/00011/images,image,dloc,
ebrodber,Erna Brodber,MaComère,,,2006,,https://www.dloc.com/AA00000079/00009/images,https://www.dloc.com/AA00000079/00009/images,image,dloc,
ebrodber,Erna Brodber,"Caribbean creolization
reflections on the cultural dynamics of language, literature, and identity",,,2017,,https://www.dloc.com/AA00061374/00001/pdf,https://www.dloc.com/AA00061374/00001/pdf,pdf,dloc,
etrouillot,Evelyne Trouillot,Évelyne Trouillot,August,1,2020,,https://ufdcimages.uflib.ufl.edu/AA/00/07/89/45/00001/Nadeve%20and%20Evelyne%20Final.mp4,https://www.dloc.com/AA00078945/00001/videos,video,dloc,
etrouillot,Evelyne Trouillot,Désirée Congo,,,2020,,https://www.dloc.com/AA00079157/00001/pdf,https://www.dloc.com/AA00079157/00001/pdf,pdf,dloc,
etrouillot,Evelyne Trouillot,Haïti en marche,August,14,2019,,https://www.dloc.com/UF00098809/00883/pdf,https://www.dloc.com/UF00098809/00883/pdf,pdf,dloc,
ffiallo,Fabio Fiallo,Cuentos fragiles,,,1908,,https://ufdcimages.uflib.ufl.edu/UF/00/07/39/91/00001/00001.jpg,https://www.dloc.com/UF00073991/00001/images,image,dloc,
ffiallo,Fabio Fiallo,Notas acerca de la poesía dominicana,,,1947,,https://ufdcimages.uflib.ufl.edu/UF/00/07/69/47/00001/00001.jpg,https://www.dloc.com/UF00076947/00001/images,image,dloc,
ffiallo,Fabio Fiallo,Antologia poetica dominicana,,,1951,,https://ufdcimages.uflib.ufl.edu/AA/00/08/98/65/00001/00910.jpg,https://www.dloc.com/AA00089865/00001/images,image,dloc,
ffiallo,Fabio Fiallo,Dominicanidad de Pedro Henríquez Ureña,,,1947,,https://ufdcimages.uflib.ufl.edu/UF/00/07/83/70/00001/00001.jpg,https://www.dloc.com/UF00078370/00001/images,image,dloc,
fhibbert,Fernand Hibbert,"Scènes de la vie haïtienne
les thazar",,,1907,,https://ufdcimages.uflib.ufl.edu/AA/00/04/04/89/00001/00001.jpg,https://www.dloc.com/AA00040489/00001/images,image,dloc,
fhibbert,Fernand Hibbert,Scènes de la vie haïtienne: Romulus,,,1908,,https://ufdcimages.uflib.ufl.edu/AA/00/04/04/90/00001/00001.jpg,https://www.dloc.com/AA00040490/00001/images,image,dloc,
fhibbert,Fernand Hibbert,La Ronde,,,1901,,https://ufdcimages.uflib.ufl.edu/BA/00/00/02/23/00001/00221_00009_00002.jpg,https://www.dloc.com/BA00000223/00001/images,image,dloc,
fhibbert,Fernand Hibbert,Le Matin,November,29,1909,,https://ufdcimages.uflib.ufl.edu/UF/00/08/12/13/00787/00001.jpg,https://www.dloc.com/UF00081213/00787/images,image,dloc,
facollymore,Frank A. Collymore,Notes for a glossary of words and phrases of Barbadian dialect,,,1955,,https://ufdcimages.uflib.ufl.edu/AA/00/03/03/50/00001/PE3319-B3C61955_dj.jpg,https://www.dloc.com/AA00030350/00001/images,image,dloc,
facollymore,Frank A. Collymore,Selected poems,,,1971,,https://ufdcimages.uflib.ufl.edu/AA/00/03/03/97/00001/PR6005-O3667A61971_dj.jpg,https://www.dloc.com/AA00030397/00001/images,image,dloc,
facollymore,Frank A. Collymore,Collected poems,,,1951,,https://ufdcimages.uflib.ufl.edu/AA/00/03/03/96/00001/PR6005-O3667A61959_dj.jpg,https://www.dloc.com/AA00030396/00001/images,image,dloc,
facollymore,Frank A. Collymore,Honours roll,,,1981,,https://ufdcimages.uflib.ufl.edu/CA/00/10/00/35/00001/00001.jpg,https://www.dloc.com/CA00100035/00001/images,image,dloc,
facollymore,Frank A. Collymore,Honoring of six great West Indians at Carifesta in Barbados : Builders of our Caribbean house,,,1981,,https://ufdcimages.uflib.ufl.edu/CA/00/10/00/40/00001/00001.jpg,https://www.dloc.com/CA00100040/00001/images,image,dloc,
fwainwright,Frantz Wainwright,Haïti en marche,June,18,2003,,https://ufdcimages.uflib.ufl.edu/UF/00/09/88/09/00168/UF00098809_00168_00001.jpg,https://www.dloc.com/UF00098809/00168/images,image,dloc,
fwainwright,Frantz Wainwright,Haïti en marche,November,14,2018,,https://www.dloc.com/UF00098809/00844/pdf,https://www.dloc.com/UF00098809/00844/pdf,pdf,dloc,
fdaguiar,Fred D'Aguiar,Kyk-over-Al,December,,1994,,https://ufdcimages.uflib.ufl.edu/UF/00/08/00/46/00032/00001.jpg,https://www.dloc.com/UF00080046/00032/images,image,dloc,
fdaguiar,Fred D'Aguiar,Horizons : 26th West Indian Literature Conference,March,8,2007,,https://ufdcimages.uflib.ufl.edu/CA/00/29/90/29/00001/00003.jpg,https://www.dloc.com/CA00299029/00001/images,image,dloc,
fdaguiar,Fred D'Aguiar,The Spectrum : Student Voice of The College of The Bahamas,November,,2006,,https://ufdcimages.uflib.ufl.edu/CA/03/39/96/30/00003/SPECTRUM_0611_Page_01.jpg,https://www.dloc.com/CA03399630/00003/images,image,dloc,
fdaguiar,Fred D'Aguiar,The Caribbean writer,,,1992,,https://ufdcimages.uflib.ufl.edu/AA/00/03/25/23/00006/AA00032523_00006_00001.jpg,https://www.dloc.com/AA00032523/00006/images,image,dloc,
fdaguiar,Fred D'Aguiar,The Tribune,November,7,2006,,https://ufdcimages.uflib.ufl.edu/UF/00/08/42/49/00574/84249_00574_00001.jpg,https://www.dloc.com/UF00084249/00574/images,image,dloc,
fmarcelin,Frédéric Marcelin,Propos d'un Haïtien,,,1915,,https://ufdcimages.uflib.ufl.edu/AA/00/04/04/91/00001/00001.jpg,https://www.dloc.com/AA00040491/00001/images,image,dloc,
fmarcelin,Frédéric Marcelin,Questions haïtiennes,,,1891,,https://ufdcimages.uflib.ufl.edu/UF/00/07/83/23/00001/00001.jpg,https://www.dloc.com/UF00078323/00001/images,image,dloc,
fmarcelin,Frédéric Marcelin,Haiti et sa Banque nationale,,,1896,,https://ufdcimages.uflib.ufl.edu/AA/00/00/86/05/00001/00145.jpg,https://www.dloc.com/AA00008605/00001/images,image,dloc,
fmarcelin,Frédéric Marcelin,Le général Nord Alexis,,,1905,,https://ufdcimages.uflib.ufl.edu/AA/00/00/89/19/00002/00002_00001.jpg,https://www.dloc.com/AA00008919/00002/images,image,dloc,
gdrayton,Geoffrey Drayton,Christopher,,,1959,,https://ufdcimages.uflib.ufl.edu/AA/00/03/03/98/00001/PR6007-R35C371959_dj.jpg,https://www.dloc.com/AA00030398/00001/images,image,dloc,
gdrayton,Geoffrey Drayton,Anthology of the poetry of the West Indies,,,1950,,https://ufdcimages.uflib.ufl.edu/CA/01/30/00/05/00001/00001.jpg,https://www.dloc.com/CA01300005/00001/images,image,dloc,
gphilp,Geoffrey Philp,The Caribbean writer,,,1995,,https://ufdcimages.uflib.ufl.edu/AA/00/03/25/23/00009/AA00032523_00009_00001.jpg,https://www.dloc.com/AA00032523/00009/images,image,dloc,
gphilp,Geoffrey Philp,The Caribbean writer,,,1994,,https://ufdcimages.uflib.ufl.edu/AA/00/03/25/23/00008/AA00032523_00008_00001.jpg,https://www.dloc.com/AA00032523/00008/images,image,dloc,
glamming,George Lamming,Honoring of six great West Indians at Carifesta in Barbados : Builders of our Caribbean house,,,1981,,https://ufdcimages.uflib.ufl.edu/CA/00/10/00/40/00001/00001.jpg,https://www.dloc.com/CA00100040/00001/images,image,dloc,
glamming,George Lamming,Lamming pays tribute to greats,July,20,1981,,https://ufdcimages.uflib.ufl.edu/CA/00/10/01/80/00001/00001.jpg,https://www.dloc.com/CA00100180/00001/images,image,dloc,
glamming,George Lamming,CARIFESTA and culture,November,1,2008,,https://ufdcimages.uflib.ufl.edu/CA/00/10/06/06/00001/0001.jpg,https://www.dloc.com/CA00100606/00001/images,image,dloc,
glamming,George Lamming,West Indian social sciences index,,,1974,,https://ufdcimages.uflib.ufl.edu/UF/00/07/23/42/00001/00001.jpg,https://www.dloc.com/UF00072342/00001/images,image,dloc,
glamming,George Lamming,Caribe 2000,,,1998,,https://ufdcimages.uflib.ufl.edu/UF/00/10/21/27/00001/00001.jpg,https://www.dloc.com/UF00102127/00001/images,image,dloc,
glamming,George Lamming,W I literature product of political awareness,September,8,1972,,https://ufdcimages.uflib.ufl.edu/CA/00/19/99/43/00001/00391.jpg,https://www.dloc.com/CA00199943/00001/images,image,dloc,
glamming,George Lamming,Writers' session at Umana Yana : But press ordered to leave meeting,September,6,1972,,https://ufdcimages.uflib.ufl.edu/CA/00/19/99/34/00001/00382.jpg,https://www.dloc.com/CA00199934/00001/images,image,dloc,
glamming,George Lamming,The Creative Writer and West Indian society : Jamaica 1900-1950,,,1981,,https://www.dloc.com/AA00035010/00001/pdf,https://www.dloc.com/AA00035010/00001/pdf,pdf,dloc,
glamming,George Lamming,Anthology of the poetry of the West Indies,,,1950,,https://ufdcimages.uflib.ufl.edu/CA/01/30/00/05/00001/00001.jpg,https://www.dloc.com/CA01300005/00001/images,image,dloc,
glamming,George Lamming,CARIFESTA book fair highlights similarity of C'bean people,July,29,1981,,https://ufdcimages.uflib.ufl.edu/CA/00/10/01/70/00001/00001.QC2.jpg,https://www.dloc.com/CA00100170/00001/images,image,dloc,
glamming,George Lamming,The emigrants,,,1954,,https://ufdcimages.uflib.ufl.edu/AA/00/03/05/14/00001/PR9230-9-L25E61954_dj.jpg,https://www.dloc.com/AA00030514/00001/images,image,dloc,
glamming,George Lamming,In the castle of my skin,,,1960,,https://ufdcimages.uflib.ufl.edu/AA/00/03/05/16/00001/PR9230-9-L25I51960_dj.jpg,https://www.dloc.com/AA00030516/00001/images,image,dloc,
glamming,George Lamming,In the castle of my skin,,,1953,,https://ufdcimages.uflib.ufl.edu/AA/00/03/05/15/00001/PR9230-9-L25I51953_dj.jpg,https://www.dloc.com/AA00030515/00001/images,image,dloc,
glamming,George Lamming,Natives of my person,,,1972,,https://ufdcimages.uflib.ufl.edu/AA/00/03/05/17/00001/PR9230-9-L25N381972_dj.jpg,https://www.dloc.com/AA00030517/00001/images,image,dloc,
glamming,George Lamming,Of age and innocence,,,1958,,https://ufdcimages.uflib.ufl.edu/AA/00/03/05/18/00001/PR9230-9-L25O41958_dj.jpg,https://www.dloc.com/AA00030518/00001/images,image,dloc,
glamming,George Lamming,Season of adventure,,,1960,,https://ufdcimages.uflib.ufl.edu/AA/00/03/05/20/00001/PR9230-9-L25S41960_dj.jpg,https://www.dloc.com/AA00030520/00001/images,image,dloc,
glamming,George Lamming,Water with berries,,,1971,,https://ufdcimages.uflib.ufl.edu/AA/00/03/05/21/00001/PR9230-9-L25W381971_dj.jpg,https://www.dloc.com/AA00030521/00001/images,image,dloc,
glamming,George Lamming,The pleasures of exile,,,1960,,https://ufdcimages.uflib.ufl.edu/AA/00/03/05/19/00001/PR9230-9-L25P541960_dj.jpg,https://www.dloc.com/AA00030519/00001/images,image,dloc,
glamming,George Lamming,"Sargasso, A Journal of Caribbean Literature, Language, and Culture",,,1986,,https://ufdcimages.uflib.ufl.edu/UF/00/09/60/05/00002/00001.jpg,https://www.dloc.com/UF00096005/00002/images,image,dloc,
gsylvain,Georges Sylvain,Cric? Crac!,,,1929,,https://ufdcimages.uflib.ufl.edu/UF/00/07/65/77/00001/00001.jpg,https://www.dloc.com/UF00076577/00001/images,image,dloc,
gsylvain,Georges Sylvain,Dix années de lutte pour la liberté,,,1915,,https://ufdcimages.uflib.ufl.edu/AA/00/00/89/08/00001/00001_00002.jpg,https://www.dloc.com/AA00008908/00001/images,image,dloc,
gsylvain,Georges Sylvain,Dix années de lutte pour la liberté,,,1915,,https://ufdcimages.uflib.ufl.edu/AA/00/00/89/08/00002/00002_00004.jpg,https://www.dloc.com/AA00008908/00002/images,image,dloc,
gsylvain,Georges Sylvain,Cric? Crac!,,,1929,,https://ufdcimages.uflib.ufl.edu/UF/00/07/65/77/00001/00001.jpg,https://www.dloc.com/UF00076577/00001/images,image,dloc,
"
gpicart",Gina Picart,Qubit,March,,2010,,https://ufdcimages.uflib.ufl.edu/UF/00/10/34/97/00044/qubit_no44_Page_01.jpg,https://www.dloc.com/UF00103497/00044/images,image,dloc,
"
gpicart",Gina Picart,Alma mater,November,,2009,,https://ufdcimages.uflib.ufl.edu/UF/00/09/89/43/00046/00011-2009_Page_01.jpg,https://www.dloc.com/UF00098943/00046/images,image,dloc,
"
gpicart",Gina Picart,Qubit,June,,2008,,https://ufdcimages.uflib.ufl.edu/UF/00/10/34/97/00035/qubit_no35_Page_01.jpg,https://www.dloc.com/UF00103497/00035/images,image,dloc,
gpineau,Gisèle Pineau,Entre Nous : Lilyan Kesteloot sur la litterature africaine francophone ; Ligia Fonseca Ferreira sur la litterature noire au Bresil; Gisele Pineau sur « L'Exil selon Julia »,June,1,1997,French,https://ufdcimages.uflib.ufl.edu/AA/00/07/34/82/00001/RL10059-CS-1299_02.mp3,https://www.dloc.com/AA00073482/00001/audios,audio,dloc,
gpineau,Gisèle Pineau,Entre Nous : Etonnants Voyageurs (2),March,31,2000,French,https://ufdcimages.uflib.ufl.edu/AA/00/07/35/96/00001/RL10059-CS-1357_02.mp3,https://www.dloc.com/AA00073596/00001/audios,audio,dloc,
grohlehr,Gordon Rohlehr,"Nieuwe West-Indische gids
KITLV and NWIG",,,,,https://www.dloc.com/UF00099461/00122/pdf,https://www.dloc.com/UF00099461/00122/pdf,pdf,dloc,
grohlehr,Gordon Rohlehr,West Indian social sciences index,,,1974,,https://ufdcimages.uflib.ufl.edu/UF/00/07/23/42/00001/00001.jpg,https://www.dloc.com/UF00072342/00001/images,image,dloc,
grohlehr,Gordon Rohlehr,Caribbean Quarterly,December,,1997,,https://www.dloc.com/UF00099208/00061/images,https://www.dloc.com/UF00099208/00061/images,image,dloc,"Access to this item is restricted to UF students, faculty, and staff"
grohlehr,Gordon Rohlehr,Tapia,July,6,1975,,https://ufdcimages.uflib.ufl.edu/UF/00/07/21/47/00169/00001.jpg,https://www.dloc.com/UF00072147/00169/images,image,dloc,
grohlehr,Gordon Rohlehr,Creolizing womanhood,January,,2000,,https://ufdcimages.uflib.ufl.edu/AA/00/01/45/30/00001/00001.jpg,https://www.dloc.com/AA00014530/00001/images,image,dloc,
grohlehr,Gordon Rohlehr,"Scenes of Trauma
Violent Rites, Migration and the Performance of Afro-Caribbean Masculinities",,,2010,,https://ufdcimages.uflib.ufl.edu/UF/E0/04/16/23/00001/smith_c_Page_035.jpg,https://www.dloc.com/UFE0041623/00001/images,image,dloc,
gnichols,Grace Nichols,Woman Version : Theoretical Approaches To West Indian Fiction by Women,,,1993,,https://ufdcimages.uflib.ufl.edu/AA/00/05/28/65/00001/00001.jpg,https://www.dloc.com/AA00052865/00001/images,image,dloc,
